chipName,chipTime,class,x,y,w,h,conf,lat,lon,verification
20190101_152415_0f44_3B_Visual_clip_r0001c0513,01-Jan-2019 15:24:15,none,,,,,,,,
20190101_152415_0f44_3B_Visual_clip_r0001c1025,01-Jan-2019 15:24:15,none,,,,,,,,
20190101_152415_0f44_3B_Visual_clip_r0001c1537,01-Jan-2019 15:24:15,none,,,,,,,,
20190101_152415_0f44_3B_Visual_clip_r0001c2049,01-Jan-2019 15:24:15,none,,,,,,,,
20190101_152415_0f44_3B_Visual_clip_r0513c0001,01-Jan-2019 15:24:15,none,,,,,,,,
20190101_152415_0f44_3B_Visual_clip_r0513c0513,01-Jan-2019 15:24:15,none,,,,,,,,
20190101_152415_0f44_3B_Visual_clip_r0513c1025,01-Jan-2019 15:24:15,none,,,,,,,,
20190101_152415_0f44_3B_Visual_clip_r0513c1537,01-Jan-2019 15:24:15,none,,,,,,,,
20190101_152415_0f44_3B_Visual_clip_r0513c2049,01-Jan-2019 15:24:15,none,,,,,,,,
20190101_152415_0f44_3B_Visual_clip_r0513c2561,01-Jan-2019 15:24:15,none,,,,,,,,
20190101_152415_0f44_3B_Visual_clip_r1025c0001,01-Jan-2019 15:24:15,none,,,,,,,,
20190101_152415_0f44_3B_Visual_clip_r1025c0513,01-Jan-2019 15:24:15,none,,,,,,,,
20190101_152415_0f44_3B_Visual_clip_r1025c1025,01-Jan-2019 15:24:15,none,,,,,,,,
20190101_152415_0f44_3B_Visual_clip_r1025c1537,01-Jan-2019 15:24:15,none,,,,,,,,
20190101_152415_0f44_3B_Visual_clip_r1025c2049,01-Jan-2019 15:24:15,none,,,,,,,,
20190101_152415_0f44_3B_Visual_clip_r1025c2561,01-Jan-2019 15:24:15,boat_wake,407393.525472,2702646.76848,13.325312,11.171328,0.778063,24.4345745448538,-81.9135540674587,
20190101_152415_0f44_3B_Visual_clip_r1537c0001,01-Jan-2019 15:24:15,none,,,,,,,,
20190101_152415_0f44_3B_Visual_clip_r1537c0513,01-Jan-2019 15:24:15,none,,,,,,,,
20190101_152415_0f44_3B_Visual_clip_r1537c1025,01-Jan-2019 15:24:15,none,,,,,,,,
20190101_152415_0f44_3B_Visual_clip_r1537c1537,01-Jan-2019 15:24:15,none,,,,,,,,
